"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Africa/Johannesburg","SAST","SAST",,,"+02:00:00","+00:00:00",,,,"+00:00:00"
"Africa/Kinshasa","WAT","WAT",,,"+01:00:00","+00:00:00",,,,"+00:00:00"
"Africa/Maputo","CAT","CAT",,,"+02:00:00","+00:00:00",,,,"+00:00:00"
"Africa/Nairobi","EAT","EAT",,,"+03:00:00","+00:00:00",,,,"+00:00:00"
"America/Adak","HAST","HAST","HADT","HADT","-10:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Anchorage","AKST","AKST","AKDT","AKDT","-09:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Asuncion","PYT","PYT","PYST","PYST","-04:00:00","+01:00:00","1,0,10","+00:00:00","1,0,3","+00:00:00"
"America/Boa_Vista","AMT","AMT",,,"-04:00:00","+00:00:00",,,,"+00:00:00"
"America/Bogota","COT","COT",,,"-05:00:00","+00:00:00",,,,"+00:00:00"
"America/Buenos_Aires","ART","ART",,,"-03:00:00","+00:00:00",,,,"+00:00:00"
"America/Caracas","VET","VET",,,"-04:00:00","+00:00:00",,,,"+00:00:00"
"America/Cayenne","GFT","GFT",,,"-03:00:00","+00:00:00",,,,"+00:00:00"
"America/Chicago","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Denver","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Eirunepe","ACT","ACT",,,"-05:00:00","+00:00:00",,,,"+00:00:00"
"America/Godthab","WGT","WGT","WGST","WGST","-03:00:00","+01:00:00","-1,6,3","+22:00:00","-1,6,10","+23:00:00"
"America/Guayaquil","ECT","ECT",,,"-05:00:00","+00:00:00",,,,"+00:00:00"
"America/Guyana","GYT","GYT",,,"-04:00:00","+00:00:00",,,,"+00:00:00"
"America/La_Paz","BOT","BOT",,,"-04:00:00","+00:00:00",,,,"+00:00:00"
"America/Lima","PET","PET",,,"-05:00:00","+00:00:00",,,,"+00:00:00"
"America/Los_Angeles","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Miquelon","PMST","PMST","PMDT","PMDT","-03:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Montevideo","UYT","UYT",,,"-03:00:00","+00:00:00",,,,"+00:00:00"
"America/New_York","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2,0,3","+02:00:00","1,0,11","+02:00:00"
"America/Noronha","FNT","FNT",,,"-02:00:00","+00:00:00",,,,"+00:00:00"
"America/Paramaribo","SRT","SRT",,,"-03:00:00","+00:00:00",,,,"+00:00:00"
"America/Puerto_Rico","AST","AST",,,"-04:00:00","+00:00:00",,,,"+00:00:00"
"America/Santiago","CLT","CLT","CLST","CLST","-04:00:00","+01:00:00","2,0,10","+00:00:00","2,0,3","+00:00:00"
"America/Sao_Paulo","BRT","BRT","BRST","BRST","-03:00:00","+01:00:00","2,0,10","+00:00:00","3,0,2","+00:00:00"
"America/Scoresbysund","EGT","EGT","EGST","EGST","-01:00:00","+01:00:00","-1,0,3","+00:00:00","-1,0,10","+01:00:00"
"America/St_Johns","NST","NST","NDT","NDT","-03:30:00","+01:00:00","1,0,4","+00:01:00","-1,0,10","+00:01:00"
"Antarctica/Davis","DAVT","DAVT",,,"+07:00:00","+00:00:00",,,,"+00:00:00"
"Antarctica/DumontDUrville","DDUT","DDUT",,,"+10:00:00","+00:00:00",,,,"+00:00:00"
"Antarctica/Mawson","MAWT","MAWT",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Antarctica/Syowa","SYOT","SYOT",,,"+03:00:00","+00:00:00",,,,"+00:00:00"
"Antarctica/Vostok","VOST","VOST",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Almaty","ALMT","ALMT","ALMST","ALMST","+06:00:00","+01:00:00","-1,0,3","+00:00:00","-1,0,10","+00:00:00"
"Asia/Anadyr","ANAT","ANAT","ANAST","ANAST","+12:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Aqtau","AQTT","AQTT","AQTST","AQTST","+04:00:00","+01:00:00","-1,0,3","+00:00:00","-1,0,10","+00:00:00"
"Asia/Ashgabat","TMT","TMT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Baku","AZT","AZT","AZST","AZST","+04:00:00","+01:00:00","-1,0,3","+01:00:00","-1,0,10","+01:00:00"
"Asia/Bangkok","ICT","ICT",,,"+07:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Bishkek","KGT","KGT","KGST","KGST","+05:00:00","+01:00:00","-1,0,3","+02:30:00","-1,0,10","+02:30:00"
"Asia/Brunei","BNT","BNT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Choibalsan","CHOT","CHOT",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Colombo","LKT","LKT",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Dhaka","BDT","BDT",,,"+06:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Dili","TPT","TPT",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Dubai","GST","GST",,,"+04:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Dushanbe","TJT","TJT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Hong_Kong","HKT","HKT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Hovd","HOVT","HOVT",,,"+07:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Irkutsk","IRKT","IRKT","IRKST","IRKST","+08:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Jakarta","WIT","WIT",,,"+07:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Jayapura","EIT","EIT",,,"+09:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Jerusalem","IST","IST","IDT","IDT","+02:00:00","+01:00:00","1,0,4","+01:00:00","1,0,10","+01:00:00"
"Asia/Kabul","AFT","AFT",,,"+04:30:00","+00:00:00",,,,"+00:00:00"
"Asia/Kamchatka","PETT","PETT","PETST","PETST","+12:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Karachi","PKT","PKT",,,"+05:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Katmandu","NPT","NPT",,,"+05:45:00","+00:00:00",,,,"+00:00:00"
"Asia/Krasnoyarsk","KRAT","KRAT","KRAST","KRAST","+07:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Kuala_Lumpur","MYT","MYT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Magadan","MAGT","MAGT","MAGST","MAGST","+11:00:00","+01:00:00","-1,0,3","+02:00:00","-1,0,10","+03:00:00"
"Asia/Makassar","CIT","CIT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
"Asia/Manila","PHT","PHT",,,"+08:00:00","+00:00:00",,,,"+00:00:00"
